runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,root g value,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.095839,42,83,23428,76271,3304,3264,0.004929,0.005044,0.009077,0.067184,0.077604,0.022985,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den312d-even-10.scen
0.057451,12,23,11597,38830,4401,4399,0.001246,0.001007,0.005991,0.029223,0.031701,0.066895,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_mansion_n-even-1.scen
0.046379,51,101,7683,21067,1302,1271,0.007651,0.002189,0.005248,0.023525,0.039723,0.009998,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-20-random-4.scen
0.626668,13,25,301899,136619,13574,13572,0.003153,0.001397,0.019915,0.505511,0.5104,0.306933,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-even-18.scen
0.020957,28,55,4784,11866,776,747,0.002109,0.001217,0.001648,0.012981,0.017551,0.00396,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-random-12.scen
0.024855,20,39,4679,15226,1709,1705,0.002867,0.000381,0.00308,0.010397,0.016216,0.00972,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-even-2.scen
0.150092,12,23,25103,74715,10350,10346,0.002745,0.000967,0.014005,0.051717,0.056105,0.352128,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-random-24.scen
0.002603,5,9,1212,2058,239,235,8.8e-05,0.000144,0.000179,0.001693,0.001914,0.001614,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-20-random-21.scen
0.007483,10,19,1992,4102,482,460,0.000566,0.000213,0.000512,0.004657,0.005869,0.002657,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-even-21.scen
0.287423,65,127,88339,214693,4362,4267,0.013353,0.024377,0.022844,0.232084,0.260196,0.045257,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-64-64-16-random-25.scen
0.004031,4,7,1163,2838,756,753,0.000154,6.9e-05,0.000224,0.001054,0.001354,0.012285,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-15.scen
0.164444,10,19,44857,108181,13749,13747,0.002139,0.001379,0.011291,0.054846,0.057909,0.285215,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-even-19.scen
0.388264,25,49,77975,216646,24418,24400,0.0092,0.003337,0.052078,0.181312,0.195967,0.772238,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-even-11.scen
0.238429,17,33,54793,164083,14902,14899,0.004576,0.002191,0.022321,0.106385,0.113806,0.372977,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-random-6.scen
0.026841,2,3,5140,14197,4542,4542,0.000117,0.000116,0.000652,0.002332,0.00244,0.15829,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Berlin_1_256-even-5.scen
0.024325,23,45,3866,12030,1189,1183,0.003435,0.000509,0.002848,0.010436,0.017626,0.010314,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-random-12.scen
0.001039,1,1,313,833,303,303,6e-06,0,0,0,0,0.004588,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-48-48-even-11.scen
0.000603,2,3,176,470,114,114,2.6e-05,9e-06,2.6e-05,0.000144,0.000197,0.000505,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-16-16-even-19.scen
0.341673,52,103,67183,224402,8224,8184,0.009656,0.031388,0.038039,0.249784,0.269242,0.128589,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/lt_gallowstemplar_n-random-2.scen
0.084468,41,81,18123,51468,4181,4156,0.008045,0.001986,0.011262,0.046019,0.062663,0.047125,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-10.scen
0.061122,35,69,10977,34777,3658,3634,0.006548,0.001162,0.008293,0.028622,0.041914,0.045325,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-4.scen
0.076925,4,7,23543,50852,9490,9486,0.0006,0.000438,0.003288,0.022261,0.022961,0.309925,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-even-18.scen
0.386301,14,27,59834,144984,11870,11854,0.001701,0.004581,0.044891,0.206976,0.210467,0.187345,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-random-2.scen
0.014825,10,19,4291,11563,1617,1616,0.000685,0.000284,0.001204,0.006618,0.008013,0.023985,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-17.scen
0.069599,5,9,14710,38364,8020,8018,0.000805,0.000416,0.003476,0.014625,0.015646,0.385543,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Berlin_1_256-random-13.scen
0.123827,43,85,32022,94737,3291,3260,0.006291,0.008919,0.009971,0.0895,0.102677,0.026522,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den312d-even-6.scen
0.029728,2,3,4564,14358,2904,2904,0.000192,0.000175,0.000698,0.005666,0.005832,0.052349,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_mansion_n-even-24.scen
0.087242,7,13,16776,57295,9727,9725,0.001124,0.000622,0.005879,0.025311,0.026894,0.235468,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-even-11.scen
0.028379,24,47,4391,16485,1503,1499,0.003965,0.000613,0.003423,0.011267,0.019567,0.01314,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-32-32-random-10.scen
0.163559,13,25,30390,87054,11694,11687,0.002432,0.002361,0.018257,0.077449,0.081639,0.427483,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-even-16.scen
0.000613,1,1,215,522,205,205,5e-06,0,0,0,0,0.001883,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-random-2.scen
0.003719,17,33,518,1340,95,87,0.000732,0.000198,0.000269,0.001564,0.003158,0.000274,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.046603,20,39,8065,27633,4065,4061,0.004295,0.000572,0.005715,0.018249,0.026019,0.048615,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-23.scen
0.005531,1,1,1888,5294,1878,1878,1.4e-05,0,0,0,0,0.026012,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/maze-128-128-10-random-9.scen
0.077242,7,13,21719,59228,6879,6873,0.000877,0.00067,0.004145,0.032238,0.03362,0.088971,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ost003d-random-11.scen
0.012757,1,1,2859,7593,2849,2849,2e-05,0,0,0,0,0.078683,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Paris_1_256-even-24.scen
0.648617,50,99,165015,551229,11303,11266,0.007859,0.038107,0.051948,0.539562,0.562173,0.121869,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/lak303d-even-19.scen
0.011237,5,9,4194,9812,1203,1202,9.2e-05,0.000301,0.000731,0.005421,0.005605,0.013178,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_chantry-random-3.scen
0.009582,4,7,2515,7521,2109,2109,0.000358,7.7e-05,0.000554,0.001638,0.002251,0.025923,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-3.scen
0.11701,43,85,23781,66678,5238,5201,0.010991,0.002685,0.014289,0.065221,0.087711,0.051903,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-21.scen
0.006229,1,1,1009,2907,957,957,8e-06,0,0,0,0,0.015745,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_mansion_n-random-6.scen
0.449553,14,27,104867,296864,15619,15600,0.001939,0.00611,0.039921,0.278437,0.282777,0.222379,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/brc202d-even-12.scen
0.045924,24,47,8185,26745,3570,3560,0.004687,0.000663,0.005567,0.018078,0.027675,0.042219,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-random-14.scen
0.047118,7,13,13139,39552,5072,5063,0.00059,0.000749,0.003038,0.020771,0.021796,0.064416,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ost003d-random-7.scen
0.169689,13,25,51051,116262,11261,11256,0.002729,0.002447,0.013908,0.088659,0.092859,0.282639,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-random-15.scen
0.155192,17,33,35137,134562,9599,9579,0.002524,0.00301,0.012986,0.086815,0.09133,0.119988,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/lak303d-random-2.scen
0.383275,9,17,70051,178550,16966,16956,0.001439,0.002671,0.03191,0.177491,0.179842,0.193224,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-even-7.scen
0.446406,10,19,81850,179105,19367,19360,0.002049,0.003091,0.037231,0.191609,0.194689,0.242536,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-even-6.scen
0.010372,6,11,2623,8191,1978,1978,0.000505,0.000121,0.00074,0.002593,0.003499,0.024726,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-2.scen
0.034795,30,59,6618,21544,1537,1527,0.004438,0.002009,0.00393,0.017485,0.026708,0.00932,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-even-17.scen
0.200795,17,33,35953,107715,15165,15159,0.00483,0.001683,0.022834,0.072281,0.079821,0.41348,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-random-16.scen
1.35897,4,7,81529,234876,36356,36352,0.001501,0.001988,0.14071,0.311231,0.312785,0.513508,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/orz900d-random-8.scen
0.081616,44,87,16415,48283,3593,3563,0.008121,0.003951,0.009734,0.046196,0.063215,0.042771,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-random-15.scen
0.102808,7,13,20058,47225,10652,10648,0.001558,0.000738,0.007234,0.025457,0.027524,0.475665,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-random-17.scen
0.07971,2,3,6651,19160,4782,4782,7.2e-05,0.000236,0.002823,0.011442,0.011556,0.070423,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-even-18.scen
0.695464,14,27,86612,264972,23930,23915,0.003538,0.005123,0.060173,0.280785,0.28628,0.312442,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-even-8.scen
0.095711,42,83,23428,76271,3304,3264,0.005047,0.005198,0.008955,0.068037,0.078621,0.020808,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den312d-even-10.scen
0.058103,12,23,11597,38830,4401,4399,0.00132,0.001019,0.005693,0.028923,0.031316,0.061275,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_mansion_n-even-1.scen
0.0476,51,101,7683,21067,1302,1271,0.007269,0.002393,0.005389,0.025874,0.041502,0.00848,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-20-random-4.scen
0.548777,13,25,301899,136619,13574,13572,0.002915,0.001318,0.018551,0.443957,0.448587,0.283153,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-even-18.scen
0.019898,28,55,4784,11866,776,747,0.00204,0.001161,0.001592,0.012207,0.016578,0.003769,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-random-12.scen
0.022171,20,39,4679,15226,1709,1705,0.002571,0.00033,0.002622,0.009112,0.014367,0.008992,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-even-2.scen
0.130382,12,23,25103,74715,10350,10346,0.002526,0.000859,0.011628,0.04401,0.048088,0.32394,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-random-24.scen
0.002327,5,9,1212,2058,239,235,7.4e-05,0.000138,0.000155,0.001513,0.001689,0.001458,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-20-random-21.scen
0.006484,10,19,1992,4102,482,460,0.000443,0.00017,0.000391,0.003492,0.004427,0.002686,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-even-21.scen
0.284718,65,127,88339,214693,4362,4267,0.013069,0.023999,0.02282,0.229318,0.256753,0.04239,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-64-64-16-random-25.scen
0.003624,4,7,1163,2838,756,753,0.000134,7.8e-05,0.000216,0.00098,0.001284,0.011289,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-15.scen
0.157995,10,19,44857,108181,13749,13747,0.002107,0.00134,0.011143,0.054002,0.057118,0.284806,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-even-19.scen
0.38638,25,49,77975,216646,24418,24400,0.008973,0.003375,0.052449,0.182752,0.197052,0.772696,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-even-11.scen
0.241069,17,33,54793,164083,14902,14899,0.004601,0.00212,0.021796,0.104846,0.112057,0.370173,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-random-6.scen
0.024127,2,3,5140,14197,4542,4542,0.000114,0.000106,0.000591,0.002359,0.002466,0.155258,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Berlin_1_256-even-5.scen
0.022144,23,45,3866,12030,1189,1183,0.003314,0.000464,0.002541,0.009335,0.016092,0.009869,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-random-12.scen
0.001212,1,1,313,833,303,303,5e-06,0,0,0,0,0.004237,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-48-48-even-11.scen
0.000745,2,3,176,470,114,114,2.8e-05,9e-06,2.4e-05,0.000147,0.000201,0.000839,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-16-16-even-19.scen
0.349992,52,103,67183,224402,8224,8184,0.009907,0.032078,0.038197,0.257884,0.277771,0.129647,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/lt_gallowstemplar_n-random-2.scen
0.084323,41,81,18123,51468,4181,4156,0.007959,0.001908,0.011409,0.045779,0.062239,0.042219,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-10.scen
0.058648,35,69,10977,34777,3658,3634,0.00638,0.001109,0.007982,0.027348,0.040243,0.041572,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-4.scen
0.07455,4,7,23543,50852,9490,9486,0.000609,0.000429,0.003244,0.022023,0.02273,0.305254,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-even-18.scen
0.388181,14,27,59834,144984,11870,11854,0.001715,0.004568,0.044956,0.206517,0.210035,0.181467,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-random-2.scen
0.020714,10,19,4291,11563,1617,1616,0.000632,0.000342,0.001533,0.008643,0.009936,0.019561,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-17.scen
0.068429,5,9,14710,38364,8020,8018,0.00085,0.000476,0.003425,0.014803,0.015875,0.37715,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Berlin_1_256-random-13.scen
0.120733,43,85,32022,94737,3291,3260,0.006168,0.009139,0.010189,0.08912,0.102111,0.025226,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den312d-even-6.scen
0.017378,2,3,4564,14358,2904,2904,9.2e-05,9e-05,0.000323,0.002689,0.002785,0.033888,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_mansion_n-even-24.scen
0.087852,7,13,16776,57295,9727,9725,0.001129,0.000625,0.005711,0.02564,0.027287,0.231907,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/den520d-even-11.scen
0.030484,24,47,4391,16485,1503,1499,0.003721,0.000566,0.003198,0.010486,0.018108,0.013335,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-32-32-random-10.scen
0.134512,13,25,30390,87054,11694,11687,0.002125,0.002042,0.014372,0.064229,0.067847,0.384074,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-even-16.scen
0.000571,1,1,215,522,205,205,4e-06,0,0,0,0,0.001929,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-random-2.scen
0.002759,4,7,748,2027,511,510,0.000163,8e-05,0.000192,0.000771,0.001085,0.003983,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-20-random-17.scen
0.074957,21,41,22062,53812,3993,3974,0.00258,0.002662,0.007704,0.046229,0.051321,0.060302,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_chantry-even-7.scen
0.026888,2,3,8536,17324,3980,3978,0.000158,0.000136,0.000538,0.005077,0.005243,0.155683,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Boston_0_256-random-21.scen
0.124793,15,29,38986,112283,7597,7581,0.001687,0.002001,0.009489,0.073528,0.076648,0.09838,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/lak303d-random-17.scen
0.000333,1,1,112,313,102,102,5e-06,0,0,0,0,0.000479,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-16-16-even-1.scen
0.038943,22,43,7906,24377,2415,2410,0.004148,0.000429,0.003365,0.015827,0.024245,0.032349,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-48-48-random-6.scen
0.002186,4,6,1308,1915,256,240,4.9e-05,0.000103,6.9e-05,0.001504,0.001615,0.001169,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-even-16.scen
0.003769,3,5,1428,3598,720,719,0.000106,5.3e-05,0.000119,0.001113,0.001312,0.011386,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-48-48-even-9.scen
0.008848,1,1,2190,7206,2180,2180,1.6e-05,0,0,0,0,0.0217,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ost003d-even-14.scen
0.031098,1,1,5897,16502,5817,5817,0.000126,0,0,0,0,0.227422,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Berlin_1_256-random-23.scen
0.002936,11,21,395,1122,94,88,0.00049,7.8e-05,0.000213,0.001271,0.002402,0.000225,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-even-19.scen
0.013045,17,31,4968,8502,544,522,0.000862,0.000751,0.001247,0.009477,0.011319,0.002547,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-even-15.scen
0.022998,4,7,13321,23431,2045,2039,8.2e-05,0.000423,0.000636,0.013212,0.013432,0.028023,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/maze-128-128-10-even-16.scen
1.16592,24,47,180529,542031,31679,31660,0.007828,0.009322,0.120695,0.715966,0.728779,0.360738,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/w_woundedcoast-even-12.scen
0.092721,3,5,18144,48214,12335,12334,0.001072,0.000228,0.002387,0.011646,0.012484,0.526995,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Berlin_1_256-random-21.scen
0.00475,4,7,2544,4371,685,683,7.4e-05,9.5e-05,0.000224,0.002122,0.00228,0.006655,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-25.scen
0.018914,1,1,3948,10054,3926,3926,5.5e-05,0,0,0,0,0.153538,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Paris_1_256-random-18.scen
0.055342,51,100,16881,32938,1170,1074,0.004736,0.007202,0.004337,0.040312,0.05079,0.004728,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/room-32-32-4-random-18.scen
0.004725,5,9,1011,3348,651,651,0.000323,4.8e-05,0.000348,0.001221,0.001861,0.005772,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-32-32-random-13.scen
0.010732,8,15,2713,7532,1588,1581,0.000717,0.000133,0.00091,0.003482,0.004854,0.026157,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-random-18.scen
0.004838,3,5,1415,3887,1124,1123,0.000159,5.4e-05,0.000184,0.00084,0.001111,0.019438,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-random-19.scen
0.11204,64,127,18982,57789,3813,3783,0.013045,0.006726,0.015172,0.063504,0.091333,0.047419,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-random-10.scen
0.014206,29,57,2008,7499,462,454,0.002654,0.000441,0.001273,0.00606,0.011626,0.001778,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-16-16-random-1.scen
0.062644,2,3,14282,36652,10643,10641,0.000511,8.6e-05,0.001155,0.003571,0.003835,0.382891,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Paris_1_256-random-9.scen
0.006989,7,13,1977,5553,766,764,0.000458,0.000374,0.000398,0.003278,0.004176,0.004929,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-32-32-10-random-20.scen
0.128033,41,81,32154,89979,5419,5387,0.006366,0.004058,0.018048,0.08291,0.095664,0.07315,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_chantry-even-4.scen
